zone_id,production,attraction,out_degree,in_degree,weighted_degree,net_flow
1185,3055.102449,3063.397078,487,497,984,-8.294628999999986
1186,1247.197481,1286.412921,490,497,987,-39.21544000000017
1364,427.11888,440.529373,493,498,991,-13.41049300000003
1365,5301.095173,5171.783217,491,497,988,129.31195599999955
1147,719.073001,730.171587,508,508,1016,-11.098586000000068
1012,1094.980621,1123.208844,508,508,1016,-28.22822300000007
1132,2000.681969,2021.754311,508,508,1016,-21.072341999999935
1019,1392.173711,1417.268263,508,508,1016,-25.09455200000002
1079,333.118099,332.534957,508,508,1016,0.5831419999999525
1038,734.418836,752.764374,508,508,1016,-18.34553799999992
1040,1727.168533,1750.288005,508,508,1016,-23.119472000000087
1041,1862.67933,1873.673115,508,508,1016,-10.993785000000116
1157,3825.392894,3797.568684,508,508,1016,27.82421000000022
1403,2403.587663,2409.847595,508,508,1016,-6.25993200000039
1402,554.301504,561.83211,508,508,1016,-7.530605999999921
1199,4749.746239,4734.506464,508,508,1016,15.239775000000009
1044,1262.665326,1248.523021,508,508,1016,14.142305000000079
1195,4069.584153,4020.363665,508,508,1016,49.22048799999993
1155,709.041588,730.935464,506,507,1013,-21.893875999999977
1018,882.453646,869.660343,508,508,1016,12.793303000000037
1130,1380.115606,1365.955445,508,508,1016,14.160161000000016
1136,492.870145,509.688827,506,508,1014,-16.818682000000024
1142,1660.77281,1635.315177,508,508,1016,25.457632999999987
1139,1144.669495,1173.077422,507,508,1015,-28.407926999999972
1137,580.694259,583.88229,508,508,1016,-3.1880310000000236
1135,358.232438,364.754325,508,508,1016,-6.521886999999992
1008,2712.738381,2727.239911,508,508,1016,-14.501530000000002
1009,17.055977,16.714138,508,508,1016,0.3418390000000002
1129,1197.787421,1203.903304,508,508,1016,-6.11588299999994
1146,964.677068,970.094561,508,508,1016,-5.417493000000036
1080,250.021381,243.577176,508,508,1016,6.444204999999982
1059,2287.634492,2264.488905,508,508,1016,23.145586999999978
1163,1098.606603,1107.780328,508,508,1016,-9.173725000000104
1205,1940.208338,1945.530668,508,508,1016,-5.322330000000193
1508,3564.696134,3586.538272,508,508,1016,-21.842137999999977
1507,2679.2760279999998,2684.037808,508,508,1016,-4.761780000000272
1060,2830.106928,2798.251263,508,508,1016,31.855665000000045
1058,801.602792,794.480527,508,508,1016,7.12226499999997
1161,1569.172512,1573.825412,508,508,1016,-4.652899999999818
1056,2153.091359,2165.70945,508,508,1016,-12.618090999999822
1024,2644.691383,2637.400401,508,508,1016,7.290981999999985
1160,4242.861027,4221.414098,508,508,1016,21.446928999999727
1055,1553.121238,1551.577564,508,508,1016,1.54367400000001
1054,1015.173589,1024.044711,508,508,1016,-8.871122000000014
1162,2010.375669,2026.244407,508,508,1016,-15.868737999999894
1133,2319.289698,2314.431366,508,508,1016,4.858332000000246
1159,1773.569026,1806.733981,508,508,1016,-33.16495500000019
1134,1439.596207,1452.25099,508,508,1016,-12.654782999999952
1095,3428.824764,3493.758883,508,508,1016,-64.93411900000001
1092,4401.089297,4452.785868,508,508,1016,-51.696570999999494
1204,4653.04882,4690.611029,508,508,1016,-37.56220899999971
1313,2983.439824,2984.803365,508,508,1016,-1.3635410000001684
1311,2038.323114,2054.324564,508,508,1016,-16.001449999999977
1312,4240.613892,4210.888898,508,508,1016,29.72499400000015
1017,2713.161537,2688.026344,508,508,1016,25.135193000000072
1023,584.888242,591.722111,508,508,1016,-6.83386900000005
1053,648.230509,656.849942,508,508,1016,-8.619433000000072
1016,685.131907,693.724598,508,508,1016,-8.592691000000059
1022,1575.740029,1558.532132,508,508,1016,17.207897000000003
1158,1545.744056,1558.292395,508,508,1016,-12.548338999999942
1052,1739.90196,1753.59223,508,508,1016,-13.690270000000055
1051,1331.423355,1368.661927,508,508,1016,-37.238572000000204
1048,1837.783757,1886.851561,508,508,1016,-49.067804000000024
1011,2165.615322,2163.576514,508,508,1016,2.0388080000002446
1015,2059.27254,2083.359051,508,508,1016,-24.086510999999973
1145,1635.122406,1627.667544,508,508,1016,7.454862000000048
1014,2292.034271,2309.147607,508,508,1016,-17.11333599999989
1021,834.688856,825.657656,508,508,1016,9.031200000000013
1020,1566.246129,1562.613228,508,508,1016,3.6329010000001745
1050,511.000141,523.388084,508,508,1016,-12.387943000000064
1013,935.104251,938.556421,508,508,1016,-3.4521700000000237
1049,1445.447429,1454.633971,508,508,1016,-9.186541999999918
1047,1015.728,1026.784504,508,508,1016,-11.056504000000018
1203,882.5241120000001,899.374898,508,508,1016,-16.85078599999997
1078,5223.31111,5230.158965,508,508,1016,-6.847854999999981
1202,705.178675,717.135803,508,508,1016,-11.957128000000012
1046,1996.256451,2039.444815,508,508,1016,-43.18836400000009
1200,2793.668324,2807.962309,508,508,1016,-14.293984999999793
